season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,0,Kendrick Bourne,WR,SF,5.945365854,2.905144014,8.679772727,12.54302417,30,44,68.18181818,358,5,4.133,3.300368079,0.832631921,00-0033307,Kendrick,Bourne,84,K.Bourne
2019,REG,0,Breshad Perriman,WR,TB,5.939375,2.621448716,16.08173913,17.44198658,36,69,52.17391304,645,6,4.228055556,4.892278814,-0.664223258,00-0032054,Breshad,Perriman,19,B.Perriman
2019,REG,0,Nelson Agholor,WR,PHI,5.895076923,3.403384954,10.79913043,15.62872292,39,69,56.52173913,363,3,3.917692308,3.782662484,0.135029824,00-0031549,Nelson,Agholor,13,N.Agholor
2019,REG,0,Zach Ertz,TE,PHI,5.87920354,2.719924557,8.681555556,24.58198399,88,135,65.18518519,916,6,3.230909091,3.33697989,-0.106070799,00-0030061,Zachary,Ertz,86,Z.Ertz
2019,REG,0,Evan Engram,TE,NYG,5.871754386,3.069753624,5.998676471,8.539434514,44,68,64.70588235,467,3,5.955227273,4.52881492,1.426412352,00-0033881,Evan,Engram,88,E.Engram
2019,REG,0,Zay Jones,WR,LV,5.869318182,3.045900449,11.19822222,15.94567484,27,45,60,216,0,2.859259259,3.606552298,-0.747293038,00-0033891,Isaiah,Jones,12,Z.Jones
2019,REG,0,Tyreek Hill,WR,KC,5.86925,3.209023802,12.5788764,23.8589163,58,89,65.16853933,860,7,4.874655172,4.183096248,0.691558924,00-0033040,Tyreek,Hill,10,T.Hill
2019,REG,0,Jonnu Smith,TE,TEN,5.856774194,3.658182544,4.8425,5.621410273,35,44,79.54545455,439,3,8.378,4.921978449,3.456021551,00-0033858,Jonnu,Smith,81,J.Smith
2019,REG,0,Russell Gage,WR,ATL,5.842753623,3.190241847,7.062297297,9.732827271,49,74,66.21621622,446,1,3.500612245,3.573724463,-0.073112219,00-0034411,Russell,Gage,83,R.Gage
2019,REG,0,T.J. Hockenson,TE,DET,5.8378,2.322467453,7.95559322,8.845111614,32,59,54.23728814,367,2,6.37125,5.552345802,0.818904198,00-0035229,T.J.,Hockenson,88,T.Hockenson
