season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2019,REG,0,Ezekiel Elliott,RB,DAL,3.490125276,19.26910299,2.743468439,301,1357,1244.97854,112.0214598,4.508305648,0.372164318,0.471760797,12,00-0033045,Ezekiel,Elliott,21,E.Elliott
2019,REG,0,Dalvin Cook,RB,MIN,4.22123348,24,2.900264,250,1135,1033.518159,101.4818405,4.54,0.405927362,0.4,13,00-0033893,Dalvin,Cook,33,D.Cook
2019,REG,0,Gus Edwards,RB,BAL,2.925302391,22.55639098,2.61443609,133,711,636.3357784,74.66422162,5.345864662,0.561385125,0.37593985,2,00-0034184,Gus,Edwards,35,G.Edwards
2019,REG,0,Jordan Howard,RB,PHI,3.497542857,17.64705882,2.84092437,119,525,517.2881305,7.711869469,4.411764706,0.064805626,0.445378151,6,00-0032780,Jordan,Howard,24,J.Howard
2019,REG,1,C.J. Anderson,RB,DET,4.367142857,72.72727273,2.673545455,11,35,33.27126135,1.728738645,3.181818182,0.157158059,0.363636364,0,00-0029854,Cortrelle,Anderson,26,C.Anderson
2019,REG,1,Ezekiel Elliott,RB,DAL,4.432075472,7.692307692,2.954230769,13,53,54.99697149,-1.99697149,4.076923077,-0.153613192,0.384615385,1,00-0033045,Ezekiel,Elliott,21,E.Elliott
2019,REG,1,Gus Edwards,RB,BAL,3.638035714,11.76470588,2.433117647,17,56,55.28841859,0.711581415,3.294117647,0.04185773,0.411764706,0,00-0034184,Gus,Edwards,35,G.Edwards
2019,REG,1,Nick Chubb,RB,CLE,3.479866667,0,2.707235294,17,75,68.42611255,6.573887453,4.411764706,0.386699262,0.588235294,0,00-0034791,Nicholas,Chubb,24,N.Chubb
2019,REG,1,Josh Jacobs,RB,LV,3.617647059,26.08695652,2.270130435,23,85,78.857511,6.142489005,3.695652174,0.267064739,0.47826087,2,00-0035700,Joshua,Jacobs,28,J.Jacobs
2019,REG,1,Todd Gurley,RB,LAR,2.979587629,0,2.702,14,97,86.45082988,10.54917012,6.928571429,0.753512151,0.428571429,0,00-0032241,Todd Gurley II,Gurley,30,T.Gurley
2019,REG,1,Tony Pollard,RB,DAL,7.593333333,15.38461538,3.325692308,13,24,44.64145408,-20.64145408,1.846153846,-1.58780416,0.230769231,0,00-0035261,Tony,Pollard,20,T.Pollard
